"CVE","Title","Severity","KBArticles","AffectedProductCount"
"CVE-2026-21510","Windows Shell Security Feature Bypass Vulnerability","8.8","","0"
"CVE-2026-21537","Microsoft Defender for Endpoint Linux Extension Remote Code Execution Vulnerability","8.8","","0"
"CVE-2026-21529","Azure HDInsight Spoofing Vulnerability","5.7","","0"
"CVE-2026-1862","Chromium: CVE-2026-1862 Type Confusion in V8",,"","0"
"CVE-2026-2318","CVE-2026-2318",,"","0"
"CVE-2026-2313","Chromium: CVE-2026-2313 Use after free in CSS",,"","0"
"CVE-2026-2322","Chromium: CVE-2026-2322 Heap buffer overflow in Codecs",,"","0"
"CVE-2026-2649","Chromium: CVE-2026-2649 Integer overflow in V8",,"","0"
"CVE-2026-2648","Chromium: CVE-2026-2648 Heap buffer overflow in PDFium",,"","0"
"CVE-2026-3062","Chromium: CVE-2026-3062 Out of bounds read and write in Tint",,"","0"
"CVE-2026-3061","Chromium: CVE-2026-3061 Out of bounds read in Media",,"","0"
"CVE-2026-21514","Microsoft Word Security Feature Bypass Vulnerability","7.8","","0"
"CVE-2026-21525","Windows Remote Access Connection Manager Denial of Service Vulnerability","6.2","","0"
"CVE-2026-21516","GitHub Copilot for Jetbrains Remote Code Execution Vulnerability","8.8","","0"
"CVE-2026-21511","Microsoft Outlook Spoofing Vulnerability","7.5","","0"
"CVE-2026-21508","Windows Storage Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2026-21261","Microsoft Excel Information Disclosure Vulnerability","5.5","","0"
"CVE-2026-21257","GitHub Copilot and Visual Studio Elevation of Privilege Vulnerability","8.0","","0"
"CVE-2026-21256","GitHub Copilot and Visual Studio Remote Code Execution Vulnerability","8.8","","0"
"CVE-2026-21255","Windows Hyper-V Security Feature Bypass Vulnerability","8.8","","0"
"CVE-2026-21253","Mailslot File System Elevation of Privilege Vulnerability","7.0","","0"
"CVE-2023-2804","Red Hat, Inc. CVE-2023-2804: Heap Based Overflow libjpeg-turbo","6.5","","0"
"CVE-2026-21251","Cluster Client Failover (CCF) Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21250","Windows HTTP.sys Elevation of Privilege Vulnerability","7.8","","0"
"CVE-2026-21249","Windows NTLM Spoofing Vulnerability","3.3","","0"
"CVE-2026-21245","Windows Kernel Elevation of Privilege Vulnerability","7.8","","0"
